Código OACI;Nome;Município;UF;Longitude;Latitude;Altitude;Operação Diurna;Comprimento 1;Largura 1
SNSK;Central Ferraz;HERCULÂNDIA;SP;"050°18'31""W";"21°52'09""S";498;VFR;1000;18
SSMO;Fazenda Luma;PARAÍSO DAS ÁGUAS;MS;"052°43'49""W";"19°20'42""S";555;VFR;1000;18
SBOL;Fazenda Santa Lúcia;APORÉ;GO;"052°00'05""W";"18°55'13""S";586;VFR;1300;23
SBOT;Fazenda Eldorado;MONÇÃO;MA;"045°16'08""W";"03°41'31""S";36;VFR;1200;20
SBOG;Fazenda Vereda Grande;VITÓRIA DA CONQUISTA;BA;"040°49'01""W";"14°47'05""S";930;VFR;700;18
SWMR;Fazenda Retirinho;AQUIDAUANA;MS;"056°01'31,2""W";"19°52'48,9""S";121;VFR;600;20
SJBA;Fazenda Beatriz;CAMPO GRANDE;MS;"053°37'02""W";"21°29'14""S";311;VFR;600;18
SNOU;Novo Aeródromo de Feijó;FEIJÓ;AC;"070°20'27""W";"08°08'29""S";168;;1150;24
SBOA;Fazenda Antas;SAPÉ;PB;"035°15'12""W";"06°58'24""S";134;VFR;522;18
SD43;CARNEIRINHO AGROINDUSTRIAL S.A.;CARNEIRINHO;MG;"050°46'53,52""W";"19°48'35,61""S";0;VFR;984;22
SD2F;Fazenda Planura;SANTA MARIA DAS BARREIRAS;PA;"050°06'15""W";"08°57'27""S";205;;1200;20
SD2K;Jotabasso Guiratinga;GUIRATINGA;MT;"053°25'49""W";"16°15'59""S";0;VFR;900;18
SD2D;Fazenda São Mateus;NOVA MARINGÁ;MT;"057°15'27""W";"12°15'18""S";386;VFR;950;18
SD4F;Fazenda Chapadão;COMODORO;MT;"059°29'35""W";"13°55'29""S";656;VFR;1000;18
SD34;ITA;CORRENTINA;BA;"046°09'08""W";"13°48'51""S";972;VFR;1200;20
SD6J;Fazenda Fortaleza;JUARA;MT;"057°14'41""W";"11°10'30""S";306;VFR;800;18
SWHQ;Fazenda Santa Cruz;VILA BELA DA SANTÍSSIMA TRINDADE;MT;"059°56'21""W";"15°11'21""S";209;VFR;700;22
SD37;Fazenda Itália;DOM ELISEU;PA;"047°51'56""W";"04°32'14""S";323;VFR;1000;18
SSRA;Santa Rosa do Purus;SANTA ROSA DO PURUS;AC;"070°28'58""W";"09°26'47""S";229;VFR;1100;23
SDDB;Ninho do Bacurau;BOM JESUS DA LAPA;BA;"043°29'48""W";"13°14'56""S";441;VFR;800;20
SIMB;Manuel Urbano;MANOEL URBANO;AC;"069°15'59""W";"08°50'57""S";162;VFR;900;18
SJVQ;Fazenda Rio Verde;LORETO;MA;"045°30'03""W";"07°29'45""S";347;;930;18
SNRH;João Fonseca;ENVIRA;AM;"070°01'11""W";"07°26'36""S";140;VFR;1200;23
SJHW;Professor Maurício Joppert;ENGENHEIRO NAVARRO;MG;"043°57'31""W";"17°17'37""S";676;;1200;18
SD64;Fazenda União;JABORANDI;BA;"045°57'54""W";"13°59'20""S";919;VFR;1500;18
SD4Z;Fazenda Santo Eugênio;CORUMBÁ;MS;"056°43'14""W";"19°20'03""S";99;VFR;700;20
SD6T;FAZENDA SANTA MARIA;CAMPO GRANDE;MS;"054°25'46""W";"20°52'10""S";503;VFR;650;18
SD7B;Fazenda Bahia;ALENQUER;PA;"055°03'14""W";"00°45'20""S";481;VFR;650;18
SWXU;E-AR;BRASÍLIA;DF;"047°44'14""W";"15°42'02""S";1098;VFR;799;18
SD8B;Fazenda São Domingos;CORUMBÁ;MS;"056°21'21""W";"17°38'06""S";122;VFR;1000;18
SJZG;Fazenda São Geraldo;CASEARA;TO;"049°43'06,4""W";"09°34'25""S";193;VFR;1700;25
SD2L;Fazenda Ágape;NOVA LACERDA;MT;"059°54'51""W";"14°07'15""S";0;;850;18
SD38;Fazenda Esteios;PORTO VELHO;RO;"065°38'33""W";"09°43'49""S";0;VFR;1100;20
SNLV;Maria Magalhães;PORTO UNIÃO;SC;"051°00'45""W";"26°15'04""S";754;VFR;895;18
SD2Y;Caminho do Lobo;COMODORO;MT;"059°46'22""W";"13°42'29""S";591;VFR;1300;20
SD2Z;Fazenda Recanto;COMODORO;MT;"060°19'05""W";"13°25'25""S";287;VFR;700;18
SD2Q;Fazenda Bom Jesus;BELA VISTA;MS;"056°18'34""W";"21°42'37""S";375;VFR;900;20
SNOT;Usina Vale do Tijuco;UBERABA;MG;"048°16'27""W";"19°23'05""S";773;VFR;1300;25
SDTA;Dilceu dal Bosco Aviação - DDA;SINOP;MT;"055°32'24""W";"11°46'59""S";368;VFR;1200;20
SSHE;Fazenda Nova Guaporé;COMODORO;MT;"060°19'23""W";"13°54'21""S";215;VFR;1600;20
SIRN;Fazenda Jaó;NOVA XAVANTINA;MT;"051°59'09""W";"14°46'09""S";297;VFR;1450;19
SSDK;São Pedro;IGARATINGA;MG;"044°43'42""W";"20°04'33""S";827;VFR;1300;23
SJVS;Fazenda Boa Vista;SANTA FÉ;PR;"051°46'45""W";"23°04'45""S";530;VFR;1000;18
SJDB;Fazenda Santa Elisa;BRITÂNIA;GO;"051°21'50,3""W";"15°03'20,6""S";269;VFR;1450;23
SSPA;Fazenda Marajoara;CARIRI DO TOCANTINS;TO;"049°02'17""W";"11°57'48""S";266;VFR;1126;18
SD66;Cravari;BRASNORTE;MT;"057°52'35""W";"12°30'20""S";309;;1410;30
SD6H;Fazenda Hill Valley;SÃO SEBASTIÃO DO CAÍ;RS;"051°22'31""W";"29°33'48""S";10;VFR;300;18
SBOD;Fazenda Santa Cruz;ARAGUAÍNA;TO;"049°11'44""W";"07°27'21""S";214;;1500;20
SD8N;Fazenda Nova Era Agropecuária;VILA BELA DA SANTÍSSIMA TRINDADE;MT;"060°06'26""W";"15°21'39""S";241;VFR;790;18
SD8X;Canal SS;ITARUMÃ;GO;"050°59'41""W";"19°04'10""S";472;VFR;1300;18
SJ6X;Faz. Sto. Antônio do Itiquira;SANTO ANTÔNIO DO LEVERGER;MT;"054°58'53""W";"17°05'54""S";169;VFR;1220;20
SD7W;Avelino Remor;RIO MARIA;PA;"050°02'59""W";"07°18'05""S";206;VFR;700;18
SD2I;Estância Rancharia Aviação;RANCHARIA;SP;"050°54'29""W";"22°10'32""S";0;VFR;800;20
SDV7;Reserva Acurizal;CORUMBÁ;MS;"057°33'14""W";"17°49'59""S";107;;700;25
SD47;Fazenda Dois Buritis;COXIM;MS;"055°09'38""W";"17°59'00""S";167;VFR;750;18
SD4D;Fazenda Ibicuí;ALEGRETE;RS;"055°09'19""W";"29°45'11""S";0;VFR;780;20
SD4E;Fazenda Seara;JABORANDI;BA;"045°43'15""W";"14°03'02""S";850;;1400;18
SDZI;Fazenda Trijunção;JABORANDI;BA;"046°00'18""W";"14°47'43""S";944;VFR;1260;23
SD4P;Fazenda Garrote II;BRITÂNIA;GO;"051°09'26""W";"15°20'08""S";270;VFR;1500;25
SD63;Fazenda Bela Vista;CORRENTINA;BA;"046°11'14""W";"13°38'14""S";984;VFR;1500;18
SD4L;Monte Carmelo;MONTE CARMELO;MG;"047°29'08""W";"18°43'15""S";905;VFR;1000;18
SD6G;Fazenda Esplanada;PEIXE;TO;"048°33'21""W";"12°12'48""S";279;VFR;800;23
SJNP;Novo Progresso;NOVO PROGRESSO;PA;"055°24'00,55""W";"07°07'42,14""S";229;VFR;1300;30
SD7C;Serrinha;PALMEIRA;PR;"050°02'06""W";"25°27'33""S";828;VFR;382;18
SWPL;Leonardo Villas Boas;GAÚCHA DO NORTE;MT;"053°22'59""W";"12°11'57""S";288;VFR;1699;30
SWVO;Fazenda Goaçu;RIBAS DO RIO PARDO;MS;"053°21'31""W";"20°01'50""S";396;VFR;900;18
SD7M;Moinho;MONTE ALEGRE DE MINAS;MG;"048°47'00""W";"18°54'11""S";0;VFR;1000;18
SD99;Fazenda Campo Real;CAMPO NOVO DO PARECIS;MT;"057°47'08""W";"13°26'32""S";0;VFR;1000;18
SD92;FAZENDA VALE DO KAFROUN;GRAJAÚ;MA;"046°13'52""W";"06°13'30""S";299;VFR;1000;18
SD36;Fazenda Santa Maria;CORRENTINA;BA;"046°09'23""W";"13°53'03""S";969;VFR;800;18
SD46;Fazenda Brasil Fronteira;PIMENTEIRAS DO OESTE;RO;"061°20'54""W";"13°24'22""S";187;VFR;1100;20
SWQJ;COOMEJ;ALMEIRIM;PA;"052°57'00""W";"00°06'07""S";100;VFR;1000;50
SD0E;Fazenda Tangará;SANTANA DO ARAGUAIA;PA;"050°46'51""W";"09°40'07""S";210;VFR;800;18
SD3N;Aerounião;JAPORÃ;MS;"054°30'35,3""W";"23°52'40,2""S";364;VFR;650;20
SD3S;Fazenda Brasil;SENA MADUREIRA;AC;"068°35'12""W";"09°07'57""S";0;VFR;700;18
SNGT;Gentio do Ouro;GENTIO DO OURO;BA;"042°31'08""W";"11°26'30""S";1082;VFR;1300;29
SD4W;Fazenda Realeza;CAMPO GRANDE;MS;"054°38'04""W";"20°41'53""S";483;VFR;1150;20
SD67;Fazenda Rodoserv IV;CARACOL;MS;"057°07'38""W";"21°49'35""S";0;VFR;800;18
SDM4;Fazenda São José I;BRASILÂNDIA;MS;"052°01'56""W";"21°24'47""S";296;VFR;650;20
SJFF;Frigo Estrela;ESTRELA D'OESTE;SP;"050°24'40,1""W";"20°17'44,5""S";483;VFR;1070;23
SD68;Fazenda Mesa Vermelha;GUIRATINGA;MT;"053°27'07""W";"16°17'24""S";766;VFR;1000;18
SDOD;Fazenda Vida;GRAJAÚ;MA;"045°32'31""W";"05°50'24""S";250;VFR;700;18
SSUK;Fazenda Menina;ITAPURA;SP;"051°28'36""W";"20°38'24""S";343;VFR;1320;18
SSWQ;Fazenda Guanandi;CORUMBÁ;MS;"056°12'59,8""W";"18°52'15,6""S";0;VFR;550;20
SJ2Y;Lucélia;LUCÉLIA;SP;"051°01'06""W";"21°44'58""S";445;;900;23
SD48;Ribeirão II;ITIQUIRA;MT;"054°19'20""W";"17°17'58""S";639;VFR;1200;18
SD3R;Fazenda Zohar;VILA BELA DA SANTÍSSIMA TRINDADE;MT;"060°02'44""W";"15°22'00""S";0;VFR;1100;18
SD4R;Fazenda Boa Vista;ITAITUBA;PA;"056°43'10""W";"07°51'29""S";275;VFR;800;18
SSXD;Tobias Bacci;SARANDI;RS;"052°51'52""W";"27°58'50""S";632;;1050;25
SD3D;Fazenda Santa Maria;TRÊS LAGOAS;MS;"052°19'08""W";"20°20'47""S";398;VFR;800;18
SD4B;Aeródromo Privado Fazenda Primavera;PORTO ALEGRE DO NORTE;MT;"052°01'43""W";"10°38'14""S";0;VFR;1000;18
SD6S;Fazenda Torre III;ALTO GARÇAS;MT;"053°36'07""W";"16°51'24""S";797;VFR;850;18
SD4U;Ruaro;DOURADOS;MS;"054°42'46""W";"22°14'12""S";0;VFR;900;18
SNUT;De Utinga;UTINGA;BA;"041°04'28""W";"12°06'20""S";598;VFR;1420;20
SNKS;Santa Rita de Cássia;SANTA RITA DE CÁSSIA;BA;"044°30'55""W";"10°59'21""S";458;VFR;800;35
SD6Z;VCM;GUARARAPES;SP;"050°36'27""W";"21°13'14""S";418;VFR;900;30
SIQE;Botelho;BRASÍLIA;DF;"047°43'38,07""W";"15°56'13,51""S";1025;VFR;1561;18
SD69;Maria Clara;PONTA DE PEDRAS;PA;"048°48'50""W";"01°22'35""S";0;VFR;600;18
SD6L;Fazenda Paraíso;RIBAS DO RIO PARDO;MS;"053°25'52""W";"20°49'13""S";386;VFR;800;18
SD6A;Todeschini;ENCRUZILHADA DO SUL;RS;"052°53'51""W";"30°32'51""S";240;VFR;1100;18
SD3M;Fazenda São Francisco;BARRA DO BUGRES;MT;"057°25'32""W";"14°58'24""S";0;VFR;700;18
SDP7;Antenor Duarte Vilela;BARRETOS;SP;"048°40'23""W";"20°29'38""S";565;;1400;20
SDZU;Fazenda Anhumas;MARABÁ PAULISTA;SP;"052°11'52""W";"22°07'21""S";305;VFR;900;18
SNTD;Fazenda Mamoneira;NATALÂNDIA;MG;"046°30'08""W";"16°35'11""S";562;VFR;1350;23
SJTL;Morandi e Morandi Aviação Agrícola;JAGUAPITÃ;PR;"051°32'28,85""W";"22°58'49,68""S";553;VFR;1200;20
SJ94;Ipameri;IPAMERI;GO;"048°09'42""W";"17°41'08""S";832;;1500;30
SN6H;Fazenda São Bento;ARAGUACEMA;TO;"049°26'56""W";"08°58'25""S";223;;1100;18
SN6E;Fazenda São João;CAMPESTRE DO MARANHÃO;MA;"047°11'44""W";"06°12'21""S";204;VFR;1200;23
SN4F;Fazenda Nhuporã;PIMENTA BUENO;RO;"061°10'37""W";"11°59'13""S";253;VFR;1000;20
SJ8L;Fazenda Morro São Pedro;CORUMBÁ;MS;"057°52'49""W";"19°42'16,3""S";84;VFR;599;20
SI6O;Fazenda Marabá;PORTO MURTINHO;MS;"057°21'56""W";"21°41'28""S";228;VFR;1000;20
SN6C;ACR/NBF MINERAÇÃO SA;ARIQUEMES;RO;"063°31'06""W";"09°47'06""S";122;VFR;900;18
SN4L;Fazenda Santa Maria;CORNÉLIO PROCÓPIO;PR;"050°37'05""W";"23°17'57""S";598;VFR;800;23
SITU;Fazenda Santa Genoveva;TURVELÂNDIA;GO;"050°20'18""W";"17°56'42""S";465;VFR;800;20
SSZL;Fazenda Córrego Azul;BRASILÂNDIA;MS;"052°09'27""W";"21°26'30""S";319;VFR;1000;25
SJ93;Fazenda Paranoá;CANARANA;MT;"052°11'41""W";"13°12'15""S";381;VFR;1100;20
SN4X;FAZENDA JAPARANDUBA;MUQUÉM DO SÃO FRANCISCO;BA;"043°36'20""W";"12°12'40""S";475;VFR;1000;18
SJMP;Santa Liberdade;UIRAMUTÃ;RR;"060°15'25""W";"04°17'15""N";576;VFR;650;20
SN4K;EDUARDO AGUIAR BORGES RIBEIRO;NOVA LACERDA;MT;"060°02'57""W";"14°08'03""S";238;VFR;700;18
SJML;Piolho;PACARAIMA;RR;"060°44'01""W";"04°42'05""N";697;VFR;700;25
SJNB;Ubarú;PACARAIMA;RR;"060°48'08""W";"04°30'06""N";364;VFR;600;20
SJEX;Fazenda Vitória;SÃO DESIDÉRIO;BA;"046°06'28""W";"13°00'38""S";904;VFR;2000;25
SN73;Cical Táxi Aereo e Agro Pecuaria;BOA VISTA;RR;"060°57'03""W";"03°02'32""N";0;VFR;750;18
SDTO;Fazenda Cataco;UBARANA;SP;"049°47'41""W";"21°15'19""S";414;VFR;1200;20
SNTV;Fazenda Timbaúba;SÃO DESIDÉRIO;BA;"046°09'04""W";"12°31'10""S";874;VFR;1299;25
SSVB;Fazenda Ventura IV;SÃO DESIDÉRIO;BA;"046°09'58""W";"13°08'06""S";934;VFR;1500;25
SN8A;Aracati;SANTARÉM;PA;"055°57'25""W";"03°01'24""S";83;VFR;800;20
SWIX;JPO;SORRISO;MT;"055°45'57""W";"12°36'21""S";359;VFR;790;18
SJ9U;Fazenda São José;RIACHÃO DAS NEVES;BA;"045°25'24""W";"11°24'52""S";772;VFR;1400;20
SJ9Z;Fazenda Dois Irmãos;TAQUARITUBA;SP;"049°08'43""W";"23°37'04""S";647;VFR;1000;18
SDBP;Fazenda Israel 2;SANTA FÉ DE GOIÁS;GO;"051°06'57,9""W";"15°44'10,58""S";406;VFR;1000;26
SDPH;Fazenda Piratininga;SÃO MIGUEL DO ARAGUAIA;GO;"050°19'39""W";"12°49'21""S";226;VFR;1780;30
SJA3;Merlin Agro/Itaúna;BURITI BRAVO;MA;"043°44'47""W";"05°56'23""S";240;VFR;1100;23
SWAL;Fazenda Santa Albana;ITAPETININGA;SP;"048°16'54""W";"23°34'52,6""S";625;VFR;650;23
SJQ4;Fazenda Pontinha;BANDEIRANTES;MS;"054°24'09""W";"19°46'29""S";648;VFR;800;18
SJC4;FAZENDA GALILÉIA 2;ALMAS;TO;"047°07'31""W";"11°26'11""S";481;VFR;850;20
SJE3;FAZENDA PROGRESSO;PORTO DOS GAÚCHOS;MT;"056°27'56""W";"11°59'32""S";398;VFR;1000;18
SJN4;ESTRELA DO OESTE I - AGT;ANAURILÂNDIA;MS;"052°44'43""W";"22°13'12""S";284;;1250;23
SJC2;Fazenda Tabaroa;ÁGUAS DE SANTA BÁRBARA;SP;"049°16'08""W";"22°47'53""S";652;VFR;800;18
SJB8;Fazenda Vale do Sonho;ARAGUAIANA;MT;"051°52'20""W";"15°08'47""S";273;VFR;1000;18
SIF3;Fazenda Tremendal;CÁCERES;MT;"058°17'34""W";"16°27'22""S";114;VFR;1199;18
SWAR;Fazenda Aruanã;RIBEIRÃO CASCALHEIRA;MT;"051°35'16""W";"13°04'52""S";295;VFR;1200;30
SSNR;Fazenda Novo Horizonte;COXIM;MS;"054°56'09,96""W";"18°19'01,67""S";200;VFR;1100;18
SNFP;Fazenda Pirapó;SORRISO;MT;"055°51'24,65""W";"12°12'41,04""S";364;VFR;1100;18
SIWH;Francisco Lázaro da Silveira;COROMANDEL;MG;"047°13'36""W";"18°28'54""S";974;VFR;1300;20
SIXG;Fazenda Pouso Alegre;CATALÃO;GO;"047°27'45""W";"18°01'51""S";857;VFR;800;18
SJV8;Hangar Du Fanta;CANTÁ;RR;"060°35'33""W";"02°47'01""N";0;VFR;800;18
SJF2;Fazenda Verde Vale;NOVO MUNDO;MT;"055°18'14""W";"09°50'18""S";265;VFR;1000;18
SN89;Fazenda São Miguel;CORUMBÁ;MS;"057°09'10""W";"18°05'54""S";99;VFR;600;20
SJF4;AERÓDROMO PRIVADO FAZENDA SANTA CLARA;RUBIÁCEA;SP;"050°45'28""W";"21°18'20""S";466;VFR;550;40
SJG8;Fazenda Aroeira;PONTES E LACERDA;MT;"059°12'36""W";"15°41'19""S";346;VFR;1100;18
SJM4;Fazenda Duas Irmãs;CONQUISTA D'OESTE;MT;"059°34'17""W";"14°36'00""S";259;VFR;1075;23
SJZ8;Bentevi;BALSAS;MA;"045°58'14""W";"07°36'04""S";285;VFR;1400;23
SWQS;Fazenda Santa Rosa;RIBAS DO RIO PARDO;MS;"053°26'07""W";"20°56'29""S";434;VFR;950;40
SJG4;FAZENDA TAPIRAPÉ;SANTA TEREZINHA;MT;"051°02'39""W";"10°38'13""S";196;VFR;950;18
SJ4B;Morada do Sol;BOA VISTA;RR;"060°53'26""W";"02°40'52""N";82;VFR;700;18
SD2N;Érico Veríssimo;CRUZ ALTA;RS;"053°38'43,66""W";"28°43'13,73""S";444;VFR;1200;23
SJG6;META AGRO;CANARANA;MT;"052°11'24""W";"13°32'40""S";416;;1300;23
SDYI;Fazenda Buritiz;SÃO GONÇALO DO ABAETÉ;MG;"045°25'14""W";"17°55'05""S";912;VFR;900;18
SJ82;Fazenda Boemia;PARAÍSO DAS ÁGUAS;MS;"053°17'02""W";"19°07'47""S";633;VFR;1000;20
SN3B;FAZENDA ESTÂNCIA NOVA;RIO VERDE DE MATO GROSSO;MS;"055°11'17""W";"18°36'06""S";177;VFR;1400;20
SJJ9;Fazenda Santa Maria;PARAÍSO DAS ÁGUAS;MS;"053°24'10""W";"19°23'39""S";615;VFR;750;18
SSUR;Fazenda Rio Fontoura;SÃO FÉLIX DO ARAGUAIA;MT;"052°15'26,6""W";"11°33'53,5""S";318;VFR;1000;18
SN37;FAZENDA CONCEIÇÃO;WANDERLEY;BA;"043°51'50""W";"11°26'59""S";0;VFR;1200;20
SN23;Fazenda Boa União;JUTI;MS;"054°29'44""W";"22°47'07""S";371;VFR;400;18
SJF8;Fazenda Bahia Potrich;FELIZ NATAL;MT;"055°06'43""W";"12°43'26""S";406;VFR;900;18
SSLP;Fazenda Lucero Porã;PORTO MURTINHO;MS;"057°38'55""W";"21°54'34""S";91;VFR;1000;30
SJH3;FAZENDA SANTA MARIA;SÃO VALÉRIO;TO;"048°13'06""W";"11°38'24""S";274;VFR;1400;20
SN3A;Fazenda Capão;BURITIZEIRO;MG;"044°52'26""W";"17°02'52""S";537;VFR;1000;18
SNJL;J Lem;LUÍS EDUARDO MAGALHÃES;BA;"045°46'20""W";"12°07'30""S";734;;1200;23
SN39;Passo Fundo Agro;BARREIRAS;BA;"046°15'19""W";"11°52'35""S";831;VFR;1200;23
SDQ0;FAZENDA LAGEADO II;DOIS IRMÃOS DO BURITI;MS;"055°25'39""W";"20°17'39""S";199;VFR;1420;26
SJH6;FAZENDA 3 MARIAS;COCOS;BA;"045°39'22""W";"14°32'44""S";868;VFR;1300;18
SJM9;FAZENDA RIO GRANDE;SÃO DESIDÉRIO;BA;"045°09'23""W";"12°47'44""S";751;VFR;1196;20
SDA1;SÃO SEBASTIÃO;PORTO DE MOZ;PA;"052°47'53""W";"02°08'34""S";80;VFR;800;18
SWWT;Sílvio Gonçalves de Mello;MORADA NOVA DE MINAS;MG;"045°20'08""W";"18°42'20""S";590;VFR;800;25
SWER;Fazenda Entre Rios;PORTO MURTINHO;MS;"057°06'05""W";"21°21'31""S";286;VFR;1000;20
SJWI;Fazenda Flor;CAMPO GRANDE;MS;"053°45'19""W";"21°30'03""S";413;VFR;1000;20
SIA9;Fazenda Rancho do Couro;PONTES E LACERDA;MT;"059°15'47,12""W";"15°35'28,59""S";276;VFR;900;20
SSDO;São Pedro;PORTO SEGURO;BA;"039°18'59""W";"16°45'14""S";80;VFR;650;18
SDWC;Agropastoril Bom Pastor;RONDONÓPOLIS;MT;"054°42'50""W";"16°28'01""S";344;VFR;1000;18
SJH2;Severino Farias;VERTENTES;PE;"035°59'22""W";"07°52'54""S";426;VFR;702;15
SJV4;Sítio Ambrozina;BOA VISTA;RR;"060°49'36""W";"03°01'48""N";74;VFR;800;18
SNWF;Fazenda Cachoeirinha;PONTA PORÃ;MS;"055°14'09""W";"22°26'24""S";474;VFR;800;20
SJH9;Fazenda Boa Vista;BALSAS;MA;"046°38'55""W";"09°05'34""S";0;VFR;1202;20
SJH8;PRADELLA;FORMOSA DO RIO PRETO;BA;"045°31'21""W";"10°22'50""S";0;VFR;1200;20
SJK4;Fazenda Lajeadinho;SÃO JOÃO DO PARAÍSO;MA;"047°01'09""W";"06°20'27""S";230;VFR;800;23
SJ6Y;AERO AGROTERRA;RONDON DO PARÁ;PA;"048°02'21""W";"04°42'46""S";312;VFR;900;18
SJU4;Fazenda Mangabinha;CORUMBÁ;MS;"056°02'02""W";"18°38'57""S";130;VFR;1000;20
SJZ6;Gavazzoni;BARREIRAS;BA;"045°09'49""W";"12°15'09""S";734;VFR;1300;25
SJJ4;Fazenda Bola Branca;ITINGA DO MARANHÃO;MA;"047°39'09""W";"04°42'41""S";332;VFR;1000;23
SJR2;Fazenda Boa Sorte;SIDROLÂNDIA;MS;"055°00'57""W";"20°54'51""S";371;VFR;550;40
SSKT;Aeroclube de Santa Catarina;SÃO JOSÉ;SC;"048°40'24""W";"27°36'43""S";7;VFR;1203;18
SJZ5;Autazes;AUTAZES;AM;"059°07'34""W";"03°35'54""S";21;VFR;1000;18
SJZ4;Fazenda Baru;PADRE BERNARDO;GO;"048°24'11""W";"15°16'14""S";711;VFR;1100;22
SIUY;Jair Feliciano de Deus;MIRASSOL D'OESTE;MT;"058°06'30""W";"15°41'34""S";247;VFR;900;18
SJY9;Fazenda Pajau;SAPEZAL;MT;"058°27'57""W";"13°34'02""S";558;VFR;1300;18
SJP7;Fazenda Rasante 01;JAÍBA;MG;"043°48'15""W";"15°08'30""S";481;VFR;740;18
SJJ7;FAZENDA PARANÃ;PARANÃ;TO;"047°59'54""W";"12°36'25""S";304;VFR;850;25
SJJ6;FAZENDA SÃO JOSÉ MAAB;NOVA MONTE VERDE;MT;"057°00'49""W";"09°45'30""S";269;VFR;1050;20
SNVY;Fazenda Ouro Verde;PARANHOS;MS;"055°21'47""W";"23°58'46""S";432;;600;18
SDWU;Fazenda Anahí;PORTO MURTINHO;MS;"057°44'25""W";"21°42'07""S";92;VFR;1000;18
SN2A;Coppersteel;FERNANDO FALCÃO;MA;"045°39'09""W";"06°15'30""S";263;VFR;850;18
SJY8;Risicola VR;SANTA ISABEL DO IVAÍ;PR;"053°12'56""W";"23°11'02""S";276;VFR;900;18
SJFI;Fazenda JAD;SANTA RITA DO TOCANTINS;TO;"048°59'40""W";"10°57'16""S";294;VFR;1139;25
SJVR;Fazenda São Joaquim;JARDIM;MS;"056°29'11""W";"21°29'15""S";368;VFR;800;18
SIGE;Alberi Juliani;LAGOA DA CONFUSÃO;TO;"049°35'06,19""W";"10°47'19,81""S";206;VFR;1499;25
SWZC;Fazenda Corixo;PORTO ESPERIDIÃO;MT;"058°53'40""W";"16°14'45""S";150;VFR;950;20
SIWA;Fazenda Estrela do Aripuanã;ARIPUANÃ;MT;"059°22'06,9""W";"10°44'56""S";282;VFR;1100;23
SJY4;FAZENDA VEREDA GRANDE;PRESIDENTE OLEGÁRIO;MG;"046°29'51""W";"18°13'14""S";0;VFR;1200;30
SI2W;Fazenda Lacy;VILA BELA DA SANTÍSSIMA TRINDADE;MT;"060°06'47""W";"15°57'01""S";241;VFR;1200;20
SIXO;Fazenda Nossa Senhora de Fátima;COMODORO;MT;"059°39'16""W";"13°59'00""S";462;VFR;700;18
SWXZ;Fazenda Taquarussu;COMODORO;MT;"060°17'36""W";"13°18'45""S";293;VFR;700;18
SD70;FAZENDA VITÓRIA;RIO NEGRO;MS;"054°58'34""W";"19°36'57""S";0;VFR;1200;18
SN2K;Fazenda Oasis;NOVA ANDRADINA;MS;"053°18'47""W";"21°41'31""S";0;VFR;1300;30
SJY7;Fazenda Aurora;SÃO DESIDÉRIO;BA;"045°58'37""W";"13°19'12""S";882;VFR;1700;18
SDPR;Fazenda Turazzi;PONTES E LACERDA;MT;"059°18'37""W";"15°09'20""S";301;VFR;700;18
SIFM;Fazenda Mimoso;PARAÍSO DAS ÁGUAS;MS;"052°57'56""W";"19°03'00""S";621;VFR;909;18
SJK9;Fazenda Paraiso;SANTA LUZIA DO PARÁ;PA;"046°56'55""W";"01°31'04""S";0;VFR;950;25
SJK3;FAZENDA OURO VERDE;NOVA MUTUM;MT;"055°48'17""W";"14°07'39""S";404;VFR;1200;18
;Fazenda Santa Dulcina;TAQUARITUBA;SP;"049°15'28,77""W";"23°33'45,51""S";635;VFR;1287;30
SJK6;Serra Azul;ITAITUBA;PA;"056°32'47""W";"05°41'44""S";142;VFR;800;18
SSQI;Santa Anastácia I;SORRISO;MT;"055°40'56,44""W";"12°30'33,16""S";382;VFR;900;20
SJIS;Fazenda Annalu;DEODÁPOLIS;MS;"054°12'03,9""W";"22°04'56""S";330;VFR;1100;20
SJM2;FAZENDA FORTALEZA DO INAJÁ;SANTA MARIA DAS BARREIRAS;PA;"050°35'09""W";"08°31'44""S";0;VFR;1000;18
SJM3;FAZENDA CAMPO NOVO;CHAPADÃO DO SUL;MS;"052°33'12""W";"19°16'19""S";0;VFR;1300;18
SN2E;FAZENDA RAÇA;CANABRAVA DO NORTE;MT;"052°02'16""W";"11°09'56""S";299;VFR;1000;20
SJL3;FAZENDA JULIANA;BOM JESUS DO ARAGUAIA;MT;"051°49'58""W";"11°58'36""S";377;VFR;1200;18
SJX2;FAZENDA TAIUVA;SÃO FÉLIX DO ARAGUAIA;MT;"052°01'17""W";"11°33'38""S";0;VFR;1000;18
SJM6;FAZENDA TUIUIU;SANTA RITA DO TRIVELATO;MT;"055°29'41""W";"13°48'20""S";0;VFR;1000;18
SJL4;FAZENDA VALE DOS SONHOS;NOVO MUNDO;MT;"055°41'23""W";"09°40'21""S";296;VFR;1200;18
SNDH;ABA;BARREIRAS;BA;"045°02'01""W";"12°09'46""S";465;VFR;1500;18
SJL6;FAZENDA ESTRELA DO ARAGUAIA;FLORESTA DO ARAGUAIA;PA;"049°21'38""W";"07°27'40""S";153;VFR;1000;18
SN2G;FAZENDA NOVA GABIANO;UNAÍ;MG;"046°25'33""W";"16°50'47""S";0;VFR;900;18
