Código OACI;Nome;Município;UF;Longitude;Latitude;Altitude;Operação Diurna;Comprimento 1;Largura 1
SWDU;Destilaria Tabu;CAAPORÃ;PB;"034°53'22""W";"07°28'14""S";10;VFR;650;30
SNZZ;Muzzi;CORURIPE;AL;"036°11'55,5""W";"09°58'05,3""S";101;VFR;800;18
SWMA;Fazenda Córrego do Mato;FIGUEIRÃO;MS;"053°34'34""W";"18°41'42""S";571;VFR;1000;18
SWQO;Fazenda Renascença;FRUTAL;MG;"048°54'56""W";"20°23'15""S";475;VFR;800;20
SDAY;Fazenda Santa Lúcia;SANTA MARIA DAS BARREIRAS;PA;"050°20'54""W";"08°55'19""S";217;;900;20
SJWL;Doutor Mauro de Souza Castro;CAMPO LARGO;PR;"049°30'55""W";"25°25'02""S";981;VFR;550;20
SNZU;Vila Nova;TOMÉ-AÇU;PA;"048°13'58""W";"02°51'20""S";74;VFR;870;20
SIYD;Fazenda Curitiba;COMODORO;MT;"060°25'06""W";"13°32'48""S";215;VFR;980;18
SJFO;Fazenda Sorriso;MOSSÂMEDES;GO;"050°08'19""W";"16°09'53""S";704;VFR;840;30
SSJS;Autos do Sangue;BRASNORTE;MT;"058°13'27,83""W";"11°32'34,5""S";300;VFR;900;23
SIYN;Recanto dos Mouras;AFOGADOS DA INGAZEIRA;PE;"037°35'49""W";"07°45'53""S";562;VFR;750;18
SSJQ;Fazenda Floresta;RIBEIRÃO CASCALHEIRA;MT;"051°52'27""W";"12°48'24""S";362;VFR;1200;23
SIOL;Fazenda Rio Bonito;PARAÍSO DAS ÁGUAS;MS;"052°58'08""W";"19°11'59""S";568;VFR;1600;23
SWWF;Fazenda Inhumas do Chapadão;UBERABA;MG;"048°11'36""W";"19°18'21""S";851;VFR;900;23
SBTV;Terravista;PORTO SEGURO;BA;"039°06'29""W";"16°32'29""S";50;VFR;1500;30
SSTP;Fazenda Baessa;TURVELÂNDIA;GO;"050°19'06""W";"17°58'28""S";485;VFR;1200;25
SWFV;Terramare;GUAPÉ;MG;"045°51'52""W";"20°43'21""S";783;VFR;600;18
SNHU;Fazenda Bola Sete ;ITINGA DO MARANHÃO;MA;"047°28'16""W";"04°34'09""S";213;VFR;1000;20
SWAU;Fazenda Nossa Senhora Aparecida;PIRAJUBA;MG;"048°34'44""W";"19°56'47""S";790;VFR;1000;18
SNZD;Fazenda Capivara;PIMENTEIRAS DO OESTE;RO;"061°04'08""W";"13°23'29""S";190;VFR;1000;20
SJRV;PCH Garganta da Jararaca;NOVA MARINGÁ;MT;"057°37'03""W";"13°23'16""S";424;VFR;1600;23
SIIS;Fazenda Uberaba;ALTO PARAÍSO;PR;"053°50'00""W";"23°39'19""S";335;;700;25
SIYE;Fazenda Barra do Agudo;MORRO AGUDO;SP;"048°13'22""W";"20°48'37""S";490;VFR;1000;30
SJBH;Fazenda Canaã;CANARANA;MT;"052°31'35""W";"12°48'04""S";350;VFR;900;18
SITX;Fazenda Estrela do Sul;RIO BRILHANTE;MS;"054°05'08""W";"21°47'37""S";301;;800;18
SIZP;Gaúcha do Norte;GAÚCHA DO NORTE;MT;"053°15'01""W";"13°09'22""S";394;;800;18
SSJJ;Fazenda Brejon;CAMAPUÃ;MS;"053°41'51""W";"19°23'08""S";610;VFR;1000;40
SWIB;Fazenda Santa Laura;NOVA SANTA HELENA;MT;"054°54'51""W";"10°51'46""S";386;;1100;18
SSOD;Fazenda Pouso Alegre;MIRANDA;MS;"056°24'34,2""W";"20°15'02,9""S";114;VFR;980;20
SWRP;Teles Pires Lodge;APIACÁS;MT;"057°25'14""W";"08°51'47""S";137;VFR;1000;18
SSOU;Aripuanã;ARIPUANÃ;MT;"059°27'28""W";"10°11'08""S";230;VFR;1300;23
SDVS;Fazenda Vassoural;PONTAL;SP;"048°01'52""W";"21°04'27""S";538;;900;23
SIKA;Fazenda Alegria II;AMAMBAI;MS;"054°33'29""W";"23°06'38""S";354;VFR;900;18
SITI;Fazenda Baluarte;LAGOA DOS PATOS;MG;"044°47'29""W";"17°00'54""S";524;VFR;1190;30
SJLZ;Coperjava;FORMOSO DO ARAGUAIA;TO;"049°42'44""W";"11°50'06""S";192;VFR;900;30
SDTX;Fazenda São José;ILHA SOLTEIRA;SP;"051°21'27""W";"20°32'31""S";377;VFR;800;30
SJXU;Fazenda Coperbrás;BRASÍLIA;DF;"047°32'34""W";"15°45'03""S";1007;;700;20
SJPR;Asas de Balsa Nova;BALSA NOVA;PR;"049°38'35""W";"25°32'58""S";886;;530;12
